seed,method,precision_at_2,recall_at_2
168,semantic_only,0.0,0.0
168,ontology_guided,0.5,1.0
173,semantic_only,0.0,0.0
173,ontology_guided,0.5,1.0
176,semantic_only,0.5,1.0
176,ontology_guided,0.5,1.0
177,semantic_only,0.5,1.0
177,ontology_guided,1.0,1.0
198,semantic_only,0.5,1.0
198,ontology_guided,1.0,1.0
202,semantic_only,1.0,0.6666666666666666
202,ontology_guided,1.0,0.6666666666666666
203,semantic_only,0.5,1.0
203,ontology_guided,0.5,1.0
204,semantic_only,1.0,0.6666666666666666
204,ontology_guided,1.0,0.6666666666666666
227,semantic_only,1.0,0.6666666666666666
227,ontology_guided,1.0,0.6666666666666666
234,semantic_only,0.5,1.0
234,ontology_guided,0.5,1.0
238,semantic_only,0.5,1.0
238,ontology_guided,0.5,1.0
239,semantic_only,0.5,1.0
239,ontology_guided,1.0,1.0
251,semantic_only,1.0,0.6666666666666666
251,ontology_guided,1.0,0.6666666666666666
258,semantic_only,0.0,0.0
258,ontology_guided,0.5,1.0
259,semantic_only,0.5,1.0
259,ontology_guided,0.5,1.0
266,semantic_only,1.0,1.0
266,ontology_guided,0.5,0.5
274,semantic_only,0.5,1.0
274,ontology_guided,1.0,1.0
281,semantic_only,0.5,1.0
281,ontology_guided,1.0,1.0
284,semantic_only,0.5,1.0
284,ontology_guided,0.5,1.0
298,semantic_only,0.5,1.0
298,ontology_guided,0.5,1.0
301,semantic_only,0.0,0.0
301,ontology_guided,0.5,1.0
304,semantic_only,0.5,1.0
304,ontology_guided,1.0,1.0
309,semantic_only,1.0,1.0
309,ontology_guided,1.0,1.0
314,semantic_only,0.5,1.0
314,ontology_guided,0.5,1.0
316,semantic_only,0.5,1.0
316,ontology_guided,0.5,1.0
317,semantic_only,0.0,0.0
317,ontology_guided,1.0,1.0
326,semantic_only,0.5,1.0
326,ontology_guided,1.0,1.0
332,semantic_only,0.5,1.0
332,ontology_guided,1.0,1.0
334,semantic_only,1.0,1.0
334,ontology_guided,1.0,1.0
336,semantic_only,0.5,1.0
336,ontology_guided,1.0,1.0
339,semantic_only,0.5,1.0
339,ontology_guided,1.0,1.0
347,semantic_only,1.0,0.6666666666666666
347,ontology_guided,1.0,0.6666666666666666
352,semantic_only,0.5,1.0
352,ontology_guided,1.0,1.0
354,semantic_only,0.5,1.0
354,ontology_guided,0.5,1.0
357,semantic_only,1.0,1.0
357,ontology_guided,1.0,1.0
359,semantic_only,0.5,1.0
359,ontology_guided,0.5,1.0
360,semantic_only,0.5,1.0
360,ontology_guided,0.5,1.0
366,semantic_only,0.5,1.0
366,ontology_guided,0.5,1.0
368,semantic_only,0.5,1.0
368,ontology_guided,0.5,1.0
373,semantic_only,1.0,1.0
373,ontology_guided,1.0,1.0
377,semantic_only,0.5,1.0
377,ontology_guided,1.0,1.0
378,semantic_only,1.0,1.0
378,ontology_guided,1.0,1.0
380,semantic_only,0.5,1.0
380,ontology_guided,0.5,1.0
391,semantic_only,0.0,0.0
391,ontology_guided,0.5,1.0
393,semantic_only,0.0,0.0
393,ontology_guided,0.5,1.0
394,semantic_only,1.0,1.0
394,ontology_guided,1.0,1.0
400,semantic_only,0.5,1.0
400,ontology_guided,0.5,1.0
401,semantic_only,0.5,1.0
401,ontology_guided,1.0,1.0
403,semantic_only,0.5,1.0
403,ontology_guided,1.0,1.0
411,semantic_only,0.5,1.0
411,ontology_guided,0.5,1.0
415,semantic_only,0.5,1.0
415,ontology_guided,0.5,1.0
426,semantic_only,0.5,1.0
426,ontology_guided,1.0,1.0
429,semantic_only,1.0,0.5
429,ontology_guided,0.5,0.25
430,semantic_only,1.0,0.6666666666666666
430,ontology_guided,0.5,0.3333333333333333
431,semantic_only,1.0,0.6666666666666666
431,ontology_guided,1.0,0.6666666666666666
441,semantic_only,1.0,1.0
441,ontology_guided,1.0,1.0
446,semantic_only,1.0,0.6666666666666666
446,ontology_guided,1.0,0.6666666666666666
449,semantic_only,0.5,1.0
449,ontology_guided,0.5,1.0
453,semantic_only,1.0,1.0
453,ontology_guided,1.0,1.0
455,semantic_only,1.0,0.5
455,ontology_guided,0.5,0.25
458,semantic_only,0.5,1.0
458,ontology_guided,0.5,1.0
463,semantic_only,0.5,1.0
463,ontology_guided,0.5,1.0
465,semantic_only,0.5,1.0
465,ontology_guided,0.5,1.0
466,semantic_only,1.0,1.0
466,ontology_guided,1.0,1.0
503,semantic_only,1.0,1.0
503,ontology_guided,1.0,1.0
513,semantic_only,0.5,1.0
513,ontology_guided,1.0,1.0
515,semantic_only,0.5,1.0
515,ontology_guided,0.5,1.0
529,semantic_only,1.0,0.5
529,ontology_guided,0.5,0.25
532,semantic_only,0.5,1.0
532,ontology_guided,1.0,1.0
535,semantic_only,0.5,1.0
535,ontology_guided,0.5,1.0
537,semantic_only,0.5,1.0
537,ontology_guided,1.0,1.0
541,semantic_only,0.0,0.0
541,ontology_guided,0.5,1.0
542,semantic_only,1.0,0.6666666666666666
542,ontology_guided,1.0,0.6666666666666666
545,semantic_only,1.0,1.0
545,ontology_guided,1.0,1.0
546,semantic_only,0.5,1.0
546,ontology_guided,1.0,1.0
548,semantic_only,0.5,1.0
548,ontology_guided,1.0,1.0
553,semantic_only,0.5,1.0
553,ontology_guided,1.0,1.0
555,semantic_only,0.5,1.0
555,ontology_guided,0.5,1.0
575,semantic_only,0.5,1.0
575,ontology_guided,1.0,1.0
577,semantic_only,0.0,0.0
577,ontology_guided,0.5,1.0
582,semantic_only,1.0,1.0
582,ontology_guided,1.0,1.0
587,semantic_only,0.0,0.0
587,ontology_guided,1.0,1.0
592,semantic_only,0.5,1.0
592,ontology_guided,1.0,1.0
593,semantic_only,1.0,0.6666666666666666
593,ontology_guided,1.0,0.6666666666666666
596,semantic_only,1.0,0.6666666666666666
596,ontology_guided,1.0,0.6666666666666666
605,semantic_only,0.5,1.0
605,ontology_guided,1.0,1.0
606,semantic_only,1.0,0.5
606,ontology_guided,1.0,0.5
608,semantic_only,0.5,1.0
608,ontology_guided,0.5,1.0
615,semantic_only,1.0,1.0
615,ontology_guided,1.0,1.0
623,semantic_only,0.5,1.0
623,ontology_guided,0.5,1.0
627,semantic_only,0.5,1.0
627,ontology_guided,0.5,1.0
645,semantic_only,0.5,1.0
645,ontology_guided,1.0,1.0
652,semantic_only,0.5,1.0
652,ontology_guided,1.0,1.0
658,semantic_only,0.5,1.0
658,ontology_guided,0.5,1.0
664,semantic_only,0.0,0.0
664,ontology_guided,0.5,1.0
668,semantic_only,0.5,1.0
668,ontology_guided,1.0,1.0
672,semantic_only,0.5,1.0
672,ontology_guided,0.5,1.0
681,semantic_only,0.5,1.0
681,ontology_guided,0.5,1.0
692,semantic_only,0.5,1.0
692,ontology_guided,0.5,1.0
696,semantic_only,0.5,1.0
696,ontology_guided,0.5,1.0
711,semantic_only,1.0,0.5
711,ontology_guided,1.0,0.5
712,semantic_only,0.5,1.0
712,ontology_guided,1.0,1.0
713,semantic_only,0.0,0.0
713,ontology_guided,0.5,1.0
716,semantic_only,0.5,1.0
716,ontology_guided,0.5,1.0
717,semantic_only,0.5,1.0
717,ontology_guided,0.5,1.0
718,semantic_only,1.0,0.6666666666666666
718,ontology_guided,1.0,0.6666666666666666
726,semantic_only,0.0,0.0
726,ontology_guided,1.0,1.0
733,semantic_only,0.5,1.0
733,ontology_guided,1.0,1.0
737,semantic_only,0.5,1.0
737,ontology_guided,0.5,1.0
739,semantic_only,1.0,1.0
739,ontology_guided,1.0,1.0
741,semantic_only,1.0,1.0
741,ontology_guided,1.0,1.0
754,semantic_only,0.5,1.0
754,ontology_guided,0.5,1.0
760,semantic_only,0.5,1.0
760,ontology_guided,1.0,1.0
772,semantic_only,0.5,1.0
772,ontology_guided,0.5,1.0
774,semantic_only,1.0,0.6666666666666666
774,ontology_guided,0.5,0.3333333333333333
780,semantic_only,1.0,1.0
780,ontology_guided,1.0,1.0
788,semantic_only,0.5,1.0
788,ontology_guided,0.5,1.0
789,semantic_only,0.0,0.0
789,ontology_guided,1.0,1.0
791,semantic_only,0.0,0.0
791,ontology_guided,1.0,1.0
796,semantic_only,0.0,0.0
796,ontology_guided,1.0,1.0
799,semantic_only,0.5,1.0
799,ontology_guided,0.5,1.0
805,semantic_only,0.5,1.0
805,ontology_guided,0.5,1.0
811,semantic_only,0.5,1.0
811,ontology_guided,1.0,1.0
816,semantic_only,1.0,1.0
816,ontology_guided,1.0,1.0
820,semantic_only,0.5,1.0
820,ontology_guided,0.5,1.0
822,semantic_only,1.0,1.0
822,ontology_guided,0.5,0.5
825,semantic_only,0.5,1.0
825,ontology_guided,1.0,1.0
827,semantic_only,0.5,1.0
827,ontology_guided,0.5,1.0
828,semantic_only,0.5,1.0
828,ontology_guided,1.0,1.0
829,semantic_only,0.5,1.0
829,ontology_guided,1.0,1.0
837,semantic_only,0.5,1.0
837,ontology_guided,0.5,1.0
840,semantic_only,0.5,1.0
840,ontology_guided,1.0,1.0
851,semantic_only,0.5,1.0
851,ontology_guided,1.0,1.0
861,semantic_only,1.0,0.6666666666666666
861,ontology_guided,1.0,0.6666666666666666
869,semantic_only,0.5,1.0
869,ontology_guided,0.5,1.0
879,semantic_only,0.5,1.0
879,ontology_guided,0.5,1.0
882,semantic_only,0.5,1.0
882,ontology_guided,1.0,1.0
891,semantic_only,0.5,1.0
891,ontology_guided,0.5,1.0
898,semantic_only,0.5,1.0
898,ontology_guided,1.0,1.0
901,semantic_only,0.5,1.0
901,ontology_guided,1.0,1.0
909,semantic_only,1.0,1.0
909,ontology_guided,1.0,1.0
915,semantic_only,0.5,1.0
915,ontology_guided,1.0,1.0
919,semantic_only,0.5,1.0
919,ontology_guided,1.0,1.0
922,semantic_only,1.0,1.0
922,ontology_guided,1.0,1.0
928,semantic_only,1.0,0.6666666666666666
928,ontology_guided,1.0,0.6666666666666666
952,semantic_only,1.0,1.0
952,ontology_guided,1.0,1.0
968,semantic_only,0.5,1.0
968,ontology_guided,0.5,1.0
970,semantic_only,0.0,0.0
970,ontology_guided,0.5,1.0
985,semantic_only,0.0,0.0
985,ontology_guided,0.5,1.0
998,semantic_only,0.5,1.0
998,ontology_guided,0.5,1.0
